replicate,peak_reduction_percent,total_reduction_percent
1,26.938889,26.825654
2,10.489022,25.971227
3,12.713105,26.928528
4,17.672754,25.256054
5,23.887491,26.606149
6,17.865833,26.510706
7,18.652516,25.201777
8,25.931036,27.103063
9,12.968151,26.739334
10,20.199556,26.166803
11,20.395436,25.520975
12,15.015482,24.673494
13,17.891844,24.268712
14,18.353266,25.494033
15,19.765955,27.864707
16,16.741940,25.400368
17,24.923638,25.988701
18,11.564103,25.553057
19,15.975485,26.987753
20,19.878190,25.321132
21,16.777113,24.176219
22,30.637153,28.614291
23,-1.241106,23.583904
24,4.798900,25.934729
25,19.948471,26.162146
26,19.465378,26.932585
27,17.189304,26.244251
28,20.541479,26.886523
29,19.601106,25.486469
30,23.129175,27.224227
31,14.082773,24.706718
32,20.683025,26.158382
33,18.470445,24.906268
34,18.584884,25.427825
35,9.381676,26.479794
36,16.533526,28.138153
37,20.106685,24.327033
38,17.515281,25.789646
39,19.822885,25.932808
40,17.991506,24.328969
41,17.885428,26.272206
42,20.523400,25.285098
43,13.654075,27.409191
44,15.879547,24.186357
45,8.436319,28.100904
46,19.402824,25.036111
47,-1.420065,22.627396
48,20.637379,23.674767
49,18.591611,25.683129
50,18.233654,27.103317
51,6.157343,26.707837
52,16.837454,22.959454
53,27.790153,27.227081
54,9.364753,24.940173
55,18.953101,26.067562
56,14.147827,23.770326
57,17.348338,23.714950
58,6.732408,25.509010
59,17.592189,25.354054
60,20.784555,25.549643
61,19.299089,25.620134
62,-1.258107,27.345246
63,28.432847,27.568253
64,20.065948,23.766676
65,18.102119,24.463639
66,15.896517,26.198644
67,-1.398936,25.608205
68,24.784473,26.251164
69,16.377612,27.846069
70,21.513259,25.910155
71,20.093565,27.661275
72,12.230397,24.067453
73,19.704553,26.195034
74,18.737469,25.261147
75,15.316634,24.220888
76,17.748514,22.932169
77,19.685601,24.908196
78,0.490689,24.668669
79,7.850655,25.388229
80,15.060825,26.952803
81,6.972528,25.065186
82,18.560051,25.473811
83,17.151534,25.124987
84,15.741607,25.463202
85,18.684489,24.948587
86,19.875133,25.728278
87,20.151420,25.432547
88,16.258416,23.691581
89,13.105814,24.560184
90,15.765084,25.848958
91,-1.244397,26.810121
92,18.951508,26.989299
93,-1.166156,26.319612
94,20.393495,26.133552
95,21.582601,25.947147
96,17.763897,25.937428
97,19.757716,24.167761
98,22.182845,26.240163
99,26.785147,26.650548
100,19.877611,23.849590
101,17.288117,26.561888
102,14.915025,26.472688
103,-1.470061,25.018635
104,18.712497,26.051216
105,20.674817,24.063409
106,7.185868,21.563363
107,18.627802,24.621428
108,18.990320,26.088581
109,18.487673,26.165465
110,23.693598,26.708841
111,15.577521,24.805796
112,17.866200,25.269492
113,18.468207,26.512425
114,18.586551,25.500805
115,11.993389,24.701636
116,17.406700,25.654283
117,13.843600,28.670510
118,18.815136,24.400077
119,19.655241,26.058667
120,15.657197,25.578724
121,20.649581,26.283807
122,19.892589,24.386806
123,16.416732,26.900630
124,17.191014,26.796486
125,20.740602,25.901713
126,19.879937,24.555209
127,17.158828,26.169548
128,18.335627,25.460139
129,18.470438,24.493570
130,17.672391,23.887118
131,20.785639,26.170033
132,16.258336,25.333664
133,14.554813,23.745784
134,5.850582,24.293096
135,12.366675,25.112497
136,6.501047,24.968216
137,-1.073930,27.363261
138,19.115368,24.966974
139,19.803949,26.346034
140,2.422288,27.076929
141,2.711613,26.816034
142,17.677060,25.752374
143,-1.541259,23.958915
144,-1.145491,26.196767
145,18.303149,23.557411
146,16.644363,25.945201
147,15.269901,27.578206
148,17.733933,25.937170
149,3.585948,27.033341
150,17.100710,25.524088
151,16.419581,25.569419
152,19.596899,25.304245
153,22.698135,26.715685
154,14.043310,26.860749
155,19.629706,25.730816
156,18.044908,25.795911
157,20.570142,24.760834
158,20.136025,24.870648
159,16.062828,23.943799
160,20.811591,25.871654
161,16.963224,25.574002
162,17.893302,26.749192
163,-1.401994,24.049172
164,12.904691,25.349125
165,20.787462,27.042175
166,11.131750,25.549282
167,10.812222,26.172319
168,20.123778,25.288634
169,18.792851,26.751773
170,16.824905,26.331608
171,11.406539,26.895409
172,15.720683,25.410226
173,29.831274,27.136353
174,17.716772,24.577586
175,19.682787,25.759023
176,18.369652,25.832104
177,16.999031,26.658111
178,27.412929,26.931639
179,20.264720,25.576778
180,17.692079,26.596505
181,19.605916,28.225912
182,12.237953,25.855247
183,16.684443,26.515748
184,17.177010,22.221349
185,15.048127,26.138608
186,18.800406,24.375142
187,26.263331,26.685472
188,26.715053,25.585266
189,18.930111,26.429932
190,20.123207,25.868119
191,-1.177334,25.337773
192,16.332788,26.062603
193,27.159553,26.762275
194,16.425612,25.429949
195,18.074220,25.190827
196,18.574978,24.403409
197,19.695104,25.696615
198,6.715145,21.856079
199,19.319928,25.821468
200,18.934289,25.047204
201,-1.271019,27.077285
202,20.264579,26.862528
203,18.251731,25.966808
204,18.316339,25.553299
205,18.147588,25.470737
206,19.413970,25.561052
207,20.491941,24.816510
208,6.707568,27.483576
209,17.417913,25.124942
210,17.362927,24.378859
211,20.093103,26.951006
212,20.662772,25.720878
213,16.441708,26.045245
214,13.135151,26.618568
215,17.783360,27.106145
216,28.980893,26.079087
217,18.389223,24.906875
218,4.695170,25.916453
219,17.868023,26.306224
220,10.175263,25.163963
221,19.865270,22.990186
222,12.047608,24.840590
223,23.050693,24.318093
224,29.973788,26.519560
225,20.224347,23.292204
226,17.022166,24.058049
227,17.749150,26.564782
228,8.446602,27.922360
229,17.124900,25.393141
230,6.259519,26.549865
231,19.699457,25.058157
232,15.663354,25.657457
233,15.314983,26.446436
234,20.742325,24.715370
235,2.428568,25.191453
236,19.812628,25.158188
237,17.461499,25.195174
238,21.665746,26.052385
239,20.453316,26.485046
240,18.444096,23.227788
241,25.477888,26.410251
242,17.839329,25.670903
243,5.809161,23.962676
244,16.650569,24.982599
245,16.305357,24.256004
246,11.135135,26.211231
247,5.659237,24.860860
248,6.602315,27.210187
249,16.017505,25.970494
250,17.734700,25.801696
251,18.261874,25.648882
252,20.586874,26.445681
253,14.735543,26.042411
254,16.538658,26.716881
255,3.551531,25.607113
256,18.558333,27.073031
257,16.617984,25.715239
258,13.342426,28.033871
259,17.427914,25.059111
260,18.703370,23.031163
261,18.468141,25.618197
262,20.840095,24.555832
263,24.796913,25.135439
264,19.692839,25.046944
265,10.721217,24.403547
266,1.107178,26.961039
267,15.349704,24.192443
268,18.416058,23.960870
269,13.469981,25.628507
270,17.253371,24.530323
271,20.417299,27.011553
272,15.086235,28.281220
273,16.937656,24.720915
274,10.125988,25.379554
275,8.084569,25.472732
276,18.349176,26.073437
277,19.408218,26.756659
278,-1.249304,25.536788
279,16.610803,27.172283
280,20.030123,26.437442
281,20.577761,23.319330
282,19.014048,26.341091
283,15.955558,24.120565
284,20.164360,25.434099
285,18.631459,25.646348
286,12.566002,26.023055
287,18.586608,26.872521
288,18.967274,25.692611
289,25.574754,27.071202
290,19.047663,26.649974
291,19.167270,25.924167
292,18.881293,24.645491
293,23.468556,26.243232
294,6.096921,23.599338
295,14.237643,25.028132
296,5.211090,27.036386
297,15.806841,22.992971
298,24.617015,26.861995
299,19.003684,24.342378
300,12.876843,25.913029
